,reservoir storage
2005-06-02,371050605.2981988
2005-06-03,364459833.87905794
2005-06-04,361133285.38502395
2005-06-05,358238970.57609
2005-06-06,355551938.49983585
2005-06-07,352922302.66892034
2005-06-08,350433603.16845465
2005-06-09,347950348.47136885
2005-06-10,345336224.3859502
2005-06-11,342899846.2375549
2005-06-12,340467678.2269916
2005-06-13,337780829.55930096
2005-06-14,335247438.13935363
2005-06-15,332824725.9394114
2005-06-16,330512473.6251717
2005-06-17,328280678.4854028
2005-06-18,325837603.4413185
2005-06-19,323165113.7661313
2005-06-20,320851146.56110644
2005-06-21,318625593.6914853
2005-06-22,316608037.53109425
2005-06-23,314384309.8191122
2005-06-24,312329389.5372465
2005-06-25,310337195.5178879
2005-06-26,308315237.5480641
2005-06-27,306410526.44232994
2005-06-28,304181676.1475146
2005-06-29,301880541.7209143
2005-06-30,299863342.4011724
2005-07-01,297964461.5473289
2005-07-02,296061313.2389561
2005-07-03,294192717.2437564
2005-07-04,291948143.9368353
2005-07-05,289837083.97941023
2005-07-06,287696351.79710084
2005-07-07,285075336.38366675
2005-07-08,282798483.458867
2005-07-09,280503845.7799108
2005-07-10,277995034.91454047
2005-07-11,275684719.92572373
2005-07-12,273041505.5563594
2005-07-13,270742180.5355864
2005-07-14,268110382.60510147
2005-07-15,265546707.7633075
2005-07-16,262608185.703481
2005-07-17,259757667.69995856
2005-07-18,256758771.03651422
2005-07-19,254057094.89683282
2005-07-20,250955652.48161083
2005-07-21,247946806.70701644
2005-07-22,244745518.16024062
2005-07-23,241891296.20687512
2005-07-24,238778804.22195598
2005-07-25,235897677.03082934
2005-07-26,232885922.07101965
2005-07-27,229848040.81191474
2005-07-28,226402227.5209034
2005-07-29,223059223.32680908
2005-07-30,219447742.63285592
2005-07-31,215978664.85778636
2005-08-01,212423423.43636152
2005-08-02,208994717.58340403
2005-08-03,205282134.94478473
2005-08-04,201833315.5324435
2005-08-05,198251730.19562104
2005-08-06,194990231.76045257
2005-08-07,191697905.324729
2005-08-08,188392871.04400688
2005-08-09,184745719.24812645
2005-08-10,181321863.53798184
2005-08-11,177338606.92377663
2005-08-12,173157473.11643675
2005-08-13,168379390.13601175
2005-08-14,163782633.44717473
2005-08-15,159015293.1878402
2005-08-16,154382273.9224896
2005-08-17,149887639.20802474
2005-08-18,145532508.25532466
2005-08-19,141323353.26363787
2005-08-20,137252479.8537478
2005-08-21,133291460.20796645
2005-08-22,129444166.55770697
2005-08-23,125713852.8732129
2005-08-24,122082736.75440612
2005-08-25,118564028.63087814
2005-08-26,115142437.8479558
2005-08-27,111815279.24087872
2005-08-28,108594405.62882431
2005-08-29,105476995.98614904
2005-08-30,102444635.1840436
2005-08-31,99506414.298456
2005-09-01,96652143.29943986
2005-09-02,93866795.2494379
2005-09-03,91158619.57789943
2005-09-04,88538310.95069732
2005-09-05,85997163.83719984
2005-09-06,83526637.08980298
2005-09-07,81123622.88357681
2005-09-08,78794041.4981766
2005-09-09,76524945.21567042
2005-09-10,74336831.33717737
2005-09-11,72208771.59922454
2005-09-12,70159961.61603124
2005-09-13,68189954.65804908
2005-09-14,66272496.960747726
2005-09-15,64419976.06029269
2005-09-16,62692663.12238385
2005-09-17,61098456.29536722
2005-09-18,59562351.551772766
2005-09-19,58017033.051576845
2005-09-20,56468000.97927415
2005-09-21,54932250.47457294
2005-09-22,53424863.10433615
2005-09-23,51966647.33284675
2005-09-24,50557500.34352772
2005-09-25,49214722.173890375
