,discharge
2005-11-23,1.9235494590899598
2005-11-24,1.6764981215791173
2005-11-25,1.5370738487207976
2005-11-26,1.4484822922998655
2005-11-27,1.3110723378032239
2005-11-28,1.2124250948720459
2005-11-29,1.327050171503628
2005-11-30,1.2353308309190891
2005-12-01,1.2244186432309985
2005-12-02,1.2140074939415575
2005-12-03,1.3017976176894792
2005-12-04,1.4440793392102558
2005-12-05,1.6221993596703208
2005-12-06,1.4315700716913626
2005-12-07,1.5410158400659044
2005-12-08,1.4760802328499159
2005-12-09,1.156536754631767
2005-12-10,1.1835732497647886
2005-12-11,1.155049048653542
2005-12-12,1.1620097108769116
2005-12-13,1.1939959914938585
2005-12-14,1.1560033311300408
2005-12-15,1.426131476996715
2005-12-16,1.2835547328936363
2005-12-17,1.4593417861500844
2005-12-18,1.3434744063437745
2005-12-19,1.3420807253946154
2005-12-20,1.3603774443560148
2005-12-21,1.2778866698954567
2005-12-22,1.4103666739085083
2005-12-23,1.150140930033129
2005-12-24,1.3031562243014052
2005-12-25,1.3951707319068434
2005-12-26,1.1560242279547057
2005-12-27,1.1760449672051492
2005-12-28,1.0414154321156766
2005-12-29,1.165108956445565
2005-12-30,1.3390644255138127
2005-12-31,1.2247972720010214
2006-01-01,1.298048673539372
